"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14
id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
61,ABB,Dec 2012,1653,1451,202,12,33,0,19,215,33,145,68,25
62,ABB,Mar 2014,2276,2009,267,12,49,0,22,295,33,198,93,25
63,ABB,Mar 2015,2289,1977,312,14,48,0,15,344,34,229,108,29
64,ABB,Mar 2016,2614,2250,365,14,50,3,14,398,36,255,120,29
65,ABB,Mar 2017,2903,2505,398,14,57,2,16,436,37,277,130,31
66,ABB,Mar 2018,3298,2774,525,16,117,4,16,621,35,401,189,29
67,ABB,Mar 2019,3679,3074,605,16,113,2,17,699,36,450,212,31
68,ABB,Mar 2020,4093,3336,757,18,114,9,60,803,26,593,279,90
69,ABB,Mar 2021,4310,3388,922,21,81,18,58,926,25,691,325,85
70,ABB,Mar 2022,4913,3832,1082,22,83,19,66,1080,26,799,376,73
71,ABB,Mar 2023,5349,4143,1206,23,154,16,70,1274,25,949,447,73
72,ABB,Mar 2024,5849,4396,1453,25,248,12,71,1618,26,1201,565,73
73,ABB,TTM,6066,4519,1547,26,265,11,72,1728,,1285,605,
86,ADANIENSOL,Mar 2014,0,0,0,,0,0,0,0,0,0,0,
87,ADANIENSOL,Mar 2015,131,29,101,78,3,73,37,-5,34,-7,0,0
88,ADANIENSOL,Mar 2016,2194,267,1927,88,70,957,560,480,23,368,3,0
89,ADANIENSOL,Mar 2017,2876,893,1983,69,22,904,569,532,22,416,4,0
90,ADANIENSOL,Mar 2018,3944,1118,2826,72,111,886,579,1472,22,1143,10,0
91,ADANIENSOL,Mar 2019,7305,4528,2778,38,336,1391,882,840,33,559,5,0
92,ADANIENSOL,Mar 2020,11416,7158,4258,37,261,2238,1174,1107,36,706,7,0
93,ADANIENSOL,Mar 2021,9926,5976,3950,40,1115,2117,1329,1620,20,1290,11,0
94,ADANIENSOL,Mar 2022,11258,7051,4206,37,1286,2365,1427,1700,27,1236,11,0
95,ADANIENSOL,Mar 2023,13293,8775,4518,34,1583,2781,1608,1712,25,1281,11,0
96,ADANIENSOL,Mar 2024,16607,10896,5711,30,611,2767,1776,1780,33,1196,10,0
97,ADANIENSOL,TTM,22099,15507,6592,,-844,3183,1912,653,,589,6,
98,ADANIENT,Mar 2013,46375,40354,6021,13,1775,3492,2298,2005,39,1218,15,10
99,ADANIENT,Mar 2014,54947,45564,9383,17,1157,5703,3223,1614,-64,2646,20,7
100,ADANIENT,Mar 2015,64465,52015,12450,19,792,7056,3522,2663,14,2298,18,8
101,ADANIENT,Mar 2016,34008,32325,1684,5,1044,1357,314,1056,7,1000,9,4
102,ADANIENT,Mar 2017,36533,34631,1902,5,749,1257,315,1079,25,925,9,4
103,ADANIENT,Mar 2018,35924,33886,2038,6,363,1250,664,487,23,594,7,6
104,ADANIENT,Mar 2019,40379,38409,1969,5,504,1625,390,459,32,506,7,6
105,ADANIENT,Mar 2020,43403,41108,2294,5,872,1572,472,1122,29,1040,10,10
106,ADANIENT,Mar 2021,39537,37031,2506,6,494,1377,537,1086,31,1046,8,12
107,ADANIENT,Mar 2022,69420,65707,3714,5,1012,2526,1248,952,50,788,7,14
108,ADANIENT,Mar 2023,127540,118722,8818,7,834,3969,2436,3247,32,2422,22,6
109,ADANIENT,Mar 2024,96421,85044,11377,12,1146,4555,3042,4926,33,3335,28,5
110,ADANIENT,TTM,102311,88418,13893,14,1489,4150,3541,7691,,6086,49,
111,ADANIGREEN,Mar 2017,502,98,403,80,80,334,333,-184,-75,-47,0,0
112,ADANIGREEN,Mar 2018,1480,637,843,57,42,552,543,-210,-35,-138,-1,0
113,ADANIGREEN,Mar 2019,2058,532,1526,74,73,1121,1062,-585,-19,-475,-3,0
114,ADANIGREEN,Mar 2020,2549,1098,1450,57,-111,995,394,-50,23,-68,0,0
115,ADANIGREEN,Mar 2021,3124,883,2241,72,391,1953,486,193,6,182,1,0
116,ADANIGREEN,Mar 2022,5133,1621,3512,68,507,2617,849,553,12,489,3,0
117,ADANIGREEN,Mar 2023,7776,2806,4970,64,667,2911,1300,1426,32,973,6,0
118,ADANIGREEN,Mar 2024,9220,1902,7318,79,1262,5006,1903,1671,25,1260,7,0
119,ADANIGREEN,TTM,10782,2682,8100,75,891,4959,2323,1709,,1928,9,0
120,ADANIPORTS,Mar 2013,3577,1195,2382,67,344,542,422,1762,7,1639,8,12
121,ADANIPORTS,Mar 2014,4830,1910,2919,60,685,977,649,1978,12,1741,8,12
122,ADANIPORTS,Mar 2015,6152,2250,3902,63,686,1175,912,2501,7,2324,11,10
123,ADANIPORTS,Mar 2016,7109,2532,4577,64,730,1124,1063,3119,9,2856,14,8
124,ADANIPORTS,Mar 2017,8439,3021,5418,64,1037,1116,1160,4179,7,3902,19,7
125,ADANIPORTS,Mar 2018,11323,4166,7157,63,844,1579,1188,5234,30,3690,18,11
126,ADANIPORTS,Mar 2019,10925,4330,6596,60,1289,1385,1373,5126,21,4045,19,1
127,ADANIPORTS,Mar 2020,11873,5926,5947,50,1928,1951,1680,4244,11,3785,19,17
128,ADANIPORTS,Mar 2021,12550,3862,8688,69,1967,2255,2107,6292,20,5049,25,20
129,ADANIPORTS,Mar 2022,17119,7591,9528,56,1832,2544,3099,5717,13,4953,23,22
130,ADANIPORTS,Mar 2023,20852,9905,10947,52,327,2363,3425,5487,2,5391,25,20
131,ADANIPORTS,Mar 2024,26711,11121,15589,58,671,2733,3888,9639,16,8104,38,16
132,ADANIPORTS,TTM,28443,11278,17165,60,1039,2591,4053,11560,,9743,45,
133,ADANIPORTS,Mar 2013,3577,1195,2382,67,344,542,422,1762,7,1639,8,12
134,ADANIPORTS,Mar 2014,4830,1910,2919,60,685,977,649,1978,12,1741,8,12
135,ADANIPORTS,Mar 2015,6152,2250,3902,63,686,1175,912,2501,7,2324,11,10
136,ADANIPORTS,Mar 2016,7109,2532,4577,64,730,1124,1063,3119,9,2856,14,8
137,ADANIPORTS,Mar 2017,8439,3021,5418,64,1037,1116,1160,4179,7,3902,19,7
138,ADANIPORTS,Mar 2018,11323,4166,7157,63,844,1579,1188,5234,30,3690,18,11
139,ADANIPORTS,Mar 2019,10925,4330,6596,60,1289,1385,1373,5126,21,4045,19,1
140,ADANIPORTS,Mar 2020,11873,5926,5947,50,1928,1951,1680,4244,11,3785,19,17
141,ADANIPORTS,Mar 2021,12550,3862,8688,69,1967,2255,2107,6292,20,5049,25,20
142,ADANIPORTS,Mar 2022,17119,7591,9528,56,1832,2544,3099,5717,13,4953,23,22
143,ADANIPORTS,Mar 2023,20852,9905,10947,52,327,2363,3425,5487,2,5391,25,20
144,ADANIPORTS,Mar 2024,26711,11121,15589,58,671,2733,3888,9639,16,8104,38,16
145,ADANIPORTS,TTM,28443,11278,17165,60,1039,2591,4053,11560,,9743,45,
146,ADANIPOWER,Mar 2013,6692,5732,960,14,215,1703,1290,-1818,26,-2295,-10,0
147,ADANIPOWER,Mar 2014,15328,10735,4593,30,137,4162,1937,-1370,-79,-291,-1,0
148,ADANIPOWER,Mar 2015,18683,14005,4678,25,1188,4864,1818,-816,0,-816,-3,0
149,ADANIPOWER,Mar 2016,25377,16575,8802,35,-201,5560,2666,375,-47,551,2,0
150,ADANIPOWER,Mar 2017,22616,16635,5980,26,-3666,5902,2672,-6260,-1,-6174,-16,0
151,ADANIPOWER,Mar 2018,20304,14868,5436,27,754,5570,2699,-2079,0,-2103,-5,0
152,ADANIPOWER,Mar 2019,23884,18901,4983,21,2448,5657,2751,-976,1,-984,-3,0
153,ADANIPOWER,Mar 2020,26468,20734,5734,22,323,5315,3006,-2265,0,-2275,-6,0
154,ADANIPOWER,Mar 2021,26221,17533,8688,33,1909,5106,3202,2289,45,1270,3,0
155,ADANIPOWER,Mar 2022,27711,17830,9881,36,3908,4095,3118,6577,25,4912,13,0
156,ADANIPOWER,Mar 2023,38773,28677,10096,26,4216,3334,3304,7675,-40,10727,28,0
157,ADANIPOWER,Mar 2024,50351,32124,18228,36,9883,3388,3931,20792,0,20829,54,0
158,ADANIPOWER,TTM,54650,33685,20965,38,2124,3235,4046,15808,,12686,33,
159,AMBUJACEM,Dec 2012,9749,7276,2473,25,69,78,569,1896,32,1292,8,43
160,AMBUJACEM,Dec 2013,9161,7492,1669,18,390,67,494,1498,15,1278,8,44
161,AMBUJACEM,Dec 2014,9955,8022,1934,19,419,66,513,1774,16,1487,10,46
162,AMBUJACEM,Dec 2015,9437,7895,1542,16,353,92,630,1173,31,808,5,54
163,AMBUJACEM,Dec 2016,20094,16913,3181,16,441,153,1461,2008,29,1434,6,50
164,AMBUJACEM,Dec 2017,23609,19751,3858,16,335,206,1219,2768,30,1945,8,47
165,AMBUJACEM,Dec 2018,26041,22030,4011,15,232,170,1154,2919,-2,2973,11,14
166,AMBUJACEM,Dec 2019,27104,22507,4597,17,601,170,1153,3875,28,2783,11,14
167,AMBUJACEM,Dec 2020,24516,19511,5006,20,288,140,1162,3992,22,3107,12,151
168,AMBUJACEM,Dec 2021,28965,22755,6210,21,252,146,1152,5164,28,3711,14,45
169,AMBUJACEM,Mar 2023 15,38937,33815,5122,13,447,195,1645,3729,19,3024,13,19
170,AMBUJACEM,Mar 2024,33160,26760,6400,19,1401,276,1623,5901,20,4738,16,12
171,AMBUJACEM,TTM,32850,27028,5822,18,1230,298,1899,4856,,3871,13,
172,APOLLOHOSP,Mar 2013,3769,3157,612,16,33,103,142,399,26,303,22,25
173,APOLLOHOSP,Mar 2014,4357,3681,676,16,18,119,168,407,25,315,23,25
174,APOLLOHOSP,Mar 2015,5129,4392,737,14,47,118,212,455,29,335,24,24
175,APOLLOHOSP,Mar 2016,6150,5465,684,11,92,180,264,332,29,235,17,35
176,APOLLOHOSP,Mar 2017,7256,6522,734,10,60,257,314,222,41,131,16,38
177,APOLLOHOSP,Mar 2018,8243,7442,801,10,24,295,359,171,65,60,8,59
178,APOLLOHOSP,Mar 2019,9617,8548,1070,11,26,327,396,373,47,200,17,35
179,APOLLOHOSP,Mar 2020,11247,9656,1591,14,222,533,620,660,34,432,33,18
180,APOLLOHOSP,Mar 2021,10560,9420,1140,11,103,449,573,221,38,137,10,29
181,APOLLOHOSP,Mar 2022,14663,12474,2189,15,368,379,601,1578,30,1108,73,16
182,APOLLOHOSP,Mar 2023,16612,14548,2065,12,75,381,615,1144,22,844,57,26
183,APOLLOHOSP,Mar 2024,19059,16665,2394,13,105,449,687,1362,33,935,63,26
184,APOLLOHOSP,TTM,20469,17725,2745,13,158,466,719,1719,,1224,82,
185,ASIANPAINT,Mar 2013,10504,8767,1737,17,114,42,155,1655,30,1160,12,40
186,ASIANPAINT,Mar 2014,12220,10217,2004,16,124,48,246,1834,31,1263,13,42
187,ASIANPAINT,Mar 2015,13615,11372,2243,16,142,42,266,2077,31,1427,15,42
188,ASIANPAINT,Mar 2016,14271,11546,2725,19,213,49,276,2614,32,1803,18,41
189,ASIANPAINT,Mar 2017,15062,12068,2994,20,338,37,335,2960,32,2016,20,51
190,ASIANPAINT,Mar 2018,16825,13621,3204,19,336,41,360,3138,33,2098,21,41
191,ASIANPAINT,Mar 2019,19240,15475,3765,20,274,110,622,3306,33,2208,22,47
192,ASIANPAINT,Mar 2020,20211,16054,4157,21,355,102,780,3629,24,2774,28,43
193,ASIANPAINT,Mar 2021,21713,16857,4856,22,332,92,791,4304,26,3207,33,55
194,ASIANPAINT,Mar 2022,29101,24298,4804,17,296,95,816,4188,26,3085,32,61
195,ASIANPAINT,Mar 2023,34489,28229,6260,18,431,144,858,5689,26,4195,43,60
196,ASIANPAINT,Mar 2024,35495,27910,7585,21,821,205,853,7348,24,5558,57,58
197,ASIANPAINT,TTM,34831,28150,6681,19,616,227,916,6155,,4631,48,
198,ATGL,Mar 2018,1374,1008,366,27,80,125,61,259,36,162,6,0
199,ATGL,Mar 2019,1719,1264,455,26,59,90,67,357,36,229,2,12
200,ATGL,Mar 2020,1875,1280,595,32,44,41,51,547,20,436,4,6
201,ATGL,Mar 2021,1696,991,704,42,30,40,63,631,25,463,4,6
202,ATGL,Mar 2022,3038,2265,773,25,46,53,83,684,26,509,5,5
203,ATGL,Mar 2023,4378,3508,870,20,54,78,113,733,25,546,5,5
204,ATGL,Mar 2024,4475,3371,1104,25,62,111,158,896,26,668,6,4
205,ATGL,TTM,4826,3672,1153,24,52,106,199,900,,668,6,
206,BAJAJ-AUTO,Mar 2013,20025,16370,3656,18,790,1,168,4277,29,3133,108,42
207,BAJAJ-AUTO,Mar 2014,20137,15974,4163,21,674,1,181,4655,31,3380,117,43
208,BAJAJ-AUTO,Mar 2015,21595,17467,4128,19,228,6,267,4083,31,3026,105,48
209,BAJAJ-AUTO,Mar 2016,22574,17781,4793,21,1194,1,307,5679,28,4061,140,39
210,BAJAJ-AUTO,Mar 2017,21755,17326,4429,20,1468,1,307,5588,27,4079,141,39
211,BAJAJ-AUTO,Mar 2018,25210,20364,4846,19,1404,1,315,5933,29,4219,146,41
212,BAJAJ-AUTO,Mar 2019,30358,25160,5198,17,2028,4,266,6956,29,4928,170,35
213,BAJAJ-AUTO,Mar 2020,29919,24809,5109,17,1832,3,246,6692,22,5212,180,67
214,BAJAJ-AUTO,Mar 2021,27741,22803,4938,18,1570,7,259,6241,22,4857,168,83
215,BAJAJ-AUTO,Mar 2022,33145,27886,5259,16,2671,9,270,7652,19,6166,213,66
216,BAJAJ-AUTO,Mar 2023,36455,29991,6465,18,1703,40,286,7842,23,6060,214,65
217,BAJAJ-AUTO,Mar 2024,44870,36106,8765,20,1700,60,365,10040,23,7708,276,29
218,BAJAJ-AUTO,TTM,48900,39757,9143,19,1535,164,379,10135,,7371,263,
219,AXISBANK,Mar 2013,27183,17516,8313,1353,5,6551,352,7553,31,5179,22,16
220,AXISBANK,Mar 2014,30641,18690,9644,2307,8,7405,364,9349,33,6218,26,15
221,AXISBANK,Mar 2015,35479,21254,11127,3097,9,8365,406,11057,33,7358,31,15
222,AXISBANK,Mar 2016,40988,24155,13367,3466,8,9371,444,12394,34,8224,35,14
223,AXISBANK,Mar 2017,44542,26449,23808,-5715,-13,11691,509,5468,33,3679,15,33
224,AXISBANK,Mar 2018,45780,27163,28895,-10277,-22,10967,568,122,-99,276,1,0
225,AXISBANK,Mar 2019,54986,33278,27155,-5447,-10,13130,710,6974,33,4677,18,6
226,AXISBANK,Mar 2020,62635,37429,35066,-9859,-16,15537,773,4904,67,1627,6,0
227,AXISBANK,Mar 2021,63346,34107,31749,-2510,-4,12264,948,8806,25,6588,22,0
228,AXISBANK,Mar 2022,67377,34245,29962,3170,5,15221,1008,17383,25,13025,42,2
229,AXISBANK,Mar 2023,85164,42218,29089,13857,16,16143,13094,16906,43,9580,31,3
230,AXISBANK,Mar 2024,109369,59474,37943,11952,11,22442,1334,33060,25,24861,81,1
231,AXISBANK,TTM,120659,67033,44566,9061,8,25243,0,34304,,26386,85,
232,BAJAJFINSV,Mar 2013,8055,4124,3931,49,2,1204,22,2708,18,2214,10,2
233,BAJAJFINSV,Mar 2014,6023,1531,4491,75,3,1562,31,2902,24,2191,10,2
234,BAJAJFINSV,Mar 2015,11335,5823,5511,49,8,2230,38,3251,26,2409,11,2
235,BAJAJFINSV,Mar 2016,20533,13795,6739,33,0,2877,58,3804,27,2775,12,1
236,BAJAJFINSV,Mar 2017,24507,15794,8713,36,0,3716,73,4925,30,3450,14,1
237,BAJAJFINSV,Mar 2018,32862,22074,10788,33,1,4531,160,6099,32,4176,17,1
238,BAJAJFINSV,Mar 2019,42605,27569,15037,35,2,6657,226,8155,34,5374,20,1
239,BAJAJFINSV,Mar 2020,54351,36094,18258,34,0,9500,457,8302,28,5994,21,2
240,BAJAJFINSV,Mar 2021,60592,40950,19641,32,-7,9274,498,9862,25,7367,28,1
241,BAJAJFINSV,Mar 2022,68406,46951,21455,31,8,9629,563,11271,26,8314,29,1
242,BAJAJFINSV,Mar 2023,82072,52204,29868,36,1,12380,678,16811,27,12210,40,2
243,BAJAJFINSV,Mar 2024,110382,69497,40886,37,-4,18607,900,21375,27,15595,51,2
244,BAJAJFINSV,TTM,126263,80784,45479,36,12,21568,1031,22892,,16520,53,
245,BAJAJHLDNG,Mar 2013,337,15,322,95,3,0,2,322,21,1856,167,15
246,BAJAJHLDNG,Mar 2014,423,23,400,94,5,0,5,400,20,1988,179,17
247,BAJAJHLDNG,Mar 2015,524,40,484,92,35,0,6,513,19,2029,182,19
248,BAJAJHLDNG,Mar 2016,470,42,429,91,7,0,5,430,21,2265,204,16
249,BAJAJHLDNG,Mar 2017,842,215,628,75,8,0,5,630,21,2473,222,15
250,BAJAJHLDNG,Mar 2018,420,65,355,85,2390,0,5,2739,3,2655,239,17
251,BAJAJHLDNG,Mar 2019,431,85,347,80,2827,0,4,3170,4,3048,274,12
252,BAJAJHLDNG,Mar 2020,435,134,301,69,3058,13,33,3314,7,3080,269,15
253,BAJAJHLDNG,Mar 2021,457,106,352,77,3451,4,34,3766,3,3654,328,12
254,BAJAJHLDNG,Mar 2022,484,117,367,76,3896,3,34,4226,2,4126,364,32
255,BAJAJHLDNG,Mar 2023,522,142,380,73,4673,7,34,5012,1,4946,436,28
256,BAJAJHLDNG,Mar 2024,1702,140,1562,92,5967,2,34,7493,2,7365,653,20
257,BAJAJHLDNG,TTM,1733,178,1554,90,6055,2,34,7574,,7486,666,
258,BAJFINANCE,Mar 2015,5392,2274,1752,1367,25,26,36,1357,34,898,18,10
259,BAJFINANCE,Mar 2016,7299,2959,2354,1986,27,35,56,1965,35,1279,24,10
260,BAJFINANCE,Mar 2017,9970,3853,3250,2867,29,22,71,2817,35,1836,33,11
261,BAJFINANCE,Mar 2018,12746,4696,4115,3935,31,10,102,3843,35,2496,43,9
262,BAJFINANCE,Mar 2019,18487,6723,5454,6310,34,13,144,6179,35,3995,69,9
263,BAJFINANCE,Mar 2020,26374,9608,9159,7608,29,9,295,7322,28,5264,87,11
264,BAJFINANCE,Mar 2021,26673,9519,10839,6314,24,3,325,5992,26,4420,73,14
265,BAJFINANCE,Mar 2022,31641,9855,11880,9906,31,-17,385,9504,26,7028,116,17
266,BAJFINANCE,Mar 2023,41411,12701,12693,16018,39,-5,485,15528,26,11508,190,16
267,BAJFINANCE,Mar 2024,54972,18886,16099,19987,36,6,683,19310,25,14451,233,15
268,BAJFINANCE,TTM,62279,21918,18943,21417,34,29,779,20667,,15389,248,
269,BANKBARODA,Mar 2013,36442,24486,10950,1006,3,4511,322,5195,9,4829,23,19
270,BANKBARODA,Mar 2014,40463,27604,12049,809,2,5555,368,5996,18,5036,23,19
271,BANKBARODA,Mar 2015,44915,30547,13466,902,2,5449,368,5983,36,3950,18,18
272,BANKBARODA,Mar 2016,45799,32107,25391,-11700,-26,5992,525,-6233,-19,-5033,-22,0
273,BANKBARODA,Mar 2017,44473,29596,19250,-4372,-10,7937,540,3024,41,1855,8,15
274,BANKBARODA,Mar 2018,46056,29160,26093,-9197,-20,7992,901,-2106,-9,-1836,-7,0
275,BANKBARODA,Mar 2019,52906,32506,25815,-5414,-10,7887,948,1525,29,1166,4,0
276,BANKBARODA,Mar 2020,78895,50040,40583,-11728,-15,12191,1697,-1234,-99,981,2,0
277,BANKBARODA,Mar 2021,74314,43201,38070,-6957,-9,14687,1357,6373,77,1620,3,0
278,BANKBARODA,Mar 2022,73385,38815,37518,-2948,-4,14395,1438,10008,23,7933,15,19
279,BANKBARODA,Mar 2023,94503,49942,38231,6329,7,16275,2040,20565,29,15005,29,19
280,BANKBARODA,Mar 2024,118379,69899,44379,4102,3,23399,1702,25799,29,18869,36,21
281,BANKBARODA,TTM,124144,74160,46459,3526,3,23807,0,27332,,20144,39,
282,BHARTIARTL,Mar 2013,76947,53987,22960,30,1159,4519,14815,4785,53,2267,4,17
283,BHARTIARTL,Mar 2014,85864,59352,26512,31,2881,5879,15650,7864,62,3019,5,26
284,BHARTIARTL,Mar 2015,96101,62499,33602,35,1243,4446,19858,10540,52,5048,8,33
285,BHARTIARTL,Mar 2016,96532,62548,33984,35,4858,8546,17450,12846,46,6893,11,9
286,BHARTIARTL,Mar 2017,95468,60138,35330,37,1713,9547,19773,7723,45,4241,7,11
287,BHARTIARTL,Mar 2018,82639,52560,30079,36,1756,9326,19243,3267,33,2184,2,194
288,BHARTIARTL,Mar 2019,80780,55016,25764,32,4474,10622,21348,-1732,-99,1688,1,244
289,BHARTIARTL,Mar 2020,87539,50930,36610,42,-37775,13992,27690,-42846,-28,-30664,-55,-3
290,BHARTIARTL,Mar 2021,100616,55337,45279,45,-4215,15091,29404,-3432,99,-12364,-26,0
291,BHARTIARTL,Mar 2022,116547,59013,57534,49,4656,16616,33091,12483,33,8305,7,39
292,BHARTIARTL,Mar 2023,139145,67871,71274,51,1019,19300,36432,16561,26,12287,15,27
293,BHARTIARTL,Mar 2024,149982,71691,78292,52,-3428,22648,39538,12679,32,8558,13,62
294,BHARTIARTL,TTM,155478,74745,80733,52,2190,22424,41690,18809,,13816,22,
295,BEL,Mar 2013,6273,5604,669,11,622,7,136,1147,21,911,1,20
296,BEL,Mar 2014,6518,5593,925,14,438,7,150,1206,21,952,1,20
297,BEL,Mar 2015,7093,5913,1179,17,507,7,166,1513,21,1197,2,20
298,BEL,Mar 2016,7354,5961,1393,19,573,10,192,1764,24,1337,2,31
299,BEL,Mar 2017,8656,6864,1792,21,420,18,212,1983,24,1523,2,33
300,BEL,Mar 2018,10401,8361,2039,20,196,6,272,1957,28,1431,2,34
301,BEL,Mar 2019,12164,9255,2909,24,73,16,338,2628,30,1887,3,44
302,BEL,Mar 2020,12968,10209,2759,21,99,8,372,2478,28,1825,3,37
303,BEL,Mar 2021,14109,10895,3214,23,125,10,387,2942,30,2100,3,46
304,BEL,Mar 2022,15368,12024,3344,22,232,9,401,3166,26,2400,3,46
305,BEL,Mar 2023,17734,13645,4090,23,281,19,429,3923,25,2986,4,44
306,BEL,Mar 2024,20268,15217,5051,25,670,12,443,5266,25,3985,5,40
307,BEL,TTM,21575,15867,5708,26,754,7,445,6010,,4541,6,
308,BHEL,Mar 2013,48903,39420,9483,19,1132,128,957,9531,30,6693,18,20
309,BHEL,Mar 2014,39561,34982,4579,12,1617,133,985,5078,31,3502,10,20
310,BHEL,Mar 2015,31323,29183,2141,7,1221,92,1082,2187,34,1450,4,20
311,BHEL,Mar 2016,25505,26862,-1357,-5,1492,360,937,-1161,-39,-706,-2,-14
312,BHEL,Mar 2017,28465,27370,1095,4,753,413,850,586,22,455,1,85
313,BHEL,Mar 2018,28827,27174,1653,6,679,330,787,1215,64,438,1,151
314,BHEL,Mar 2019,30441,28409,2032,7,662,378,476,1840,46,1002,3,69
315,BHEL,Mar 2020,21463,21596,-133,-1,590,613,503,-659,99,-1468,-4,0
316,BHEL,Mar 2021,17309,20357,-3049,-18,393,467,473,-3596,-25,-2700,-8,0
317,BHEL,Mar 2022,21211,20383,828,4,405,448,314,470,5,445,1,31
318,BHEL,Mar 2023,23365,22321,1044,4,544,612,260,716,9,654,2,21
319,BHEL,Mar 2024,23893,23182,711,3,608,828,249,243,-16,282,1,31
320,BHEL,TTM,25833,24783,1050,4,527,746,248,583,,445,1,
321,BOSCHLTD,Dec 2012,8659,7310,1350,16,369,6,367,1346,29,958,305,20
322,BOSCHLTD,Dec 2013,8757,7468,1289,15,353,0,384,1257,30,885,282,20
323,BOSCHLTD,Mar 2015,12086,10104,1981,16,537,14,548,1956,32,1338,426,20
