id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
460,EICHERMOT,Dec 2014,1047,-1214,-162,-329
461,EICHERMOT,Mar 2016,1463,-1001,-466,-4
462,EICHERMOT,Mar 2017,1708,-1744,25,-10
463,EICHERMOT,Mar 2018,2482,-2145,-262,75
464,EICHERMOT,Mar 2019,1575,-660,-292,623
465,EICHERMOT,Mar 2020,1694,-1508,-858,-673
466,EICHERMOT,Mar 2021,1691,-1625,-15,51
467,EICHERMOT,Mar 2022,1527,-983,-593,-50
468,EICHERMOT,Mar 2023,2823,-2397,-417,8
469,EICHERMOT,Mar 2024,3724,-2834,-844,45
470,GAIL,Mar 2013,6603,-8626,3642,1618
471,GAIL,Mar 2014,4615,-4466,-3,146
472,GAIL,Mar 2015,4214,-2809,-3058,-1653
473,GAIL,Mar 2016,3960,-904,-3028,29
474,GAIL,Mar 2017,6024,-334,-5275,415
475,GAIL,Mar 2018,8769,-2660,-5252,858
476,GAIL,Mar 2019,7984,-5701,-3364,-1081
477,GAIL,Mar 2020,8345,-8299,281,328
478,GAIL,Mar 2021,8993,-4640,-3471,882
479,GAIL,Mar 2022,9420,-5490,-3917,13
480,GAIL,Mar 2023,3205,-7453,2972,-1276
481,GAIL,Mar 2024,12586,-8226,-3457,902
482,GODREJCP,Mar 2013,820,-865,282,237
483,GODREJCP,Mar 2014,1116,-494,-620,1
484,GODREJCP,Mar 2015,1027,-1236,-12,-221
485,GODREJCP,Mar 2016,847,-622,-202,23
486,GODREJCP,Mar 2017,1860,-2243,665,282
487,GODREJCP,Mar 2018,1723,-336,-1384,3
488,GODREJCP,Mar 2019,1729,274,-2039,-36
489,GODREJCP,Mar 2020,1588,-552,-1295,-259
490,GODREJCP,Mar 2021,2030,-292,-1816,-79
491,GODREJCP,Mar 2022,1451,-844,-380,227
492,GODREJCP,Mar 2023,2151,-1754,-794,-398
493,GODREJCP,Mar 2024,2070,-3435,1406,41
494,GRASIM,Mar 2013,4242,-5687,1348,-97
495,GRASIM,Mar 2014,3549,-2336,-1046,168
496,GRASIM,Mar 2015,4594,-2359,-2278,-42
497,GRASIM,Mar 2016,5868,-4515,-1365,-11
498,GRASIM,Mar 2017,7288,-3509,-3799,-20
499,GRASIM,Mar 2018,-4140,1546,3449,856
500,GRASIM,Mar 2019,-1659,-2212,4158,287
501,GRASIM,Mar 2020,16620,-11364,-3418,1838
502,GRASIM,Mar 2021,15075,-7146,-8003,-75
503,GRASIM,Mar 2022,7038,-1053,-6733,-748
504,GRASIM,Mar 2023,-12685,-13712,26469,72
505,GRASIM,Mar 2024,-10719,-23114,33908,75
506,HAL,Mar 2017,-423,3021,-164,2433
507,HAL,Mar 2018,-734,594,-2540,-2680
508,HAL,Mar 2019,-7694,5292,2321,-80
509,HAL,Mar 2020,1537,-1334,64,266
510,HAL,Mar 2021,15124,-1190,-7070,6864
511,HAL,Mar 2022,10180,-12789,-1464,-4072
512,HAL,Mar 2023,8836,-5734,-1731,1370
513,HAL,Mar 2024,8226,-6412,-1999,-185
514,HAVELLS,Mar 2013,638,-144,-252,242
515,HAVELLS,Mar 2014,868,-376,-310,183
516,HAVELLS,Mar 2015,963,-485,-754,-277
517,HAVELLS,Mar 2016,513,-121,-621,-229
518,HAVELLS,Mar 2017,767,-220,-98,450
519,HAVELLS,Mar 2018,1100,-946,-409,-255
520,HAVELLS,Mar 2019,501,185,-318,368
521,HAVELLS,Mar 2020,827,-548,-716,-437
522,HAVELLS,Mar 2021,660,-763,190,87
523,HAVELLS,Mar 2022,1728,-759,-547,421
524,HAVELLS,Mar 2023,565,31,-907,-311
525,HAVELLS,Mar 2024,1953,-1618,-534,-199
526,HCLTECH,Jun 2013,4492,-2361,-2086,44
527,HCLTECH,Jun 2014,6457,-4842,-1308,307
528,HCLTECH,Jun 2015,5539,-2088,-3140,311
529,HCLTECH,Mar 2016,3823,-2208,-2237,-623
530,HCLTECH,Mar 2017,8995,-3890,-4517,588
531,HCLTECH,Mar 2018,8328,-2236,-5714,378
532,HCLTECH,Mar 2019,8971,-3256,-1471,4244
533,HCLTECH,Mar 2020,13359,-12332,-3168,-2141
534,HCLTECH,Mar 2021,19618,-5665,-11192,2761
535,HCLTECH,Mar 2022,16900,1597,-14508,3989
536,HCLTECH,Mar 2023,18009,-3573,-15881,-1445
537,HCLTECH,Mar 2024,22448,-6608,-15464,376
538,HDFCBANK,Mar 2013,-5847,-902,13105,6356
539,HDFCBANK,Mar 2014,4211,-1099,9270,12382
540,HDFCBANK,Mar 2015,-21281,-800,18694,-3387
541,HDFCBANK,Mar 2016,-34435,-837,37815,2542
542,HDFCBANK,Mar 2017,17282,-1146,-5893,10242
543,HDFCBANK,Mar 2018,17214,-842,57378,73750
544,HDFCBANK,Mar 2019,-62872,-1503,23131,-41244
545,HDFCBANK,Mar 2020,-16869,-1403,24394,6122
546,HDFCBANK,Mar 2021,42476,-1823,-7321,33332
547,HDFCBANK,Mar 2022,-11960,-2051,48124,34113
548,HDFCBANK,Mar 2023,20814,-2992,23941,41762
549,HDFCBANK,Mar 2024,19069,16600,-3983,31687
550,HDFCLIFE,Mar 2013,,,,
551,HDFCLIFE,Mar 2014,,,,
552,HDFCLIFE,Mar 2015,4459,-3514,-168,777
553,HDFCLIFE,Mar 2016,5687,-3962,-212,1513
554,HDFCLIFE,Mar 2017,6230,-5177,-236,817
555,HDFCLIFE,Mar 2018,6739,-4421,-196,2122
556,HDFCLIFE,Mar 2019,9868,-10182,-337,-651
557,HDFCLIFE,Mar 2020,7388,-7789,38,-364
558,HDFCLIFE,Mar 2021,9703,-8952,678,1429
559,HDFCLIFE,Mar 2022,5943,-801,-238,4904
560,HDFCLIFE,Mar 2023,6883,-10071,1985,-1203
561,HDFCLIFE,Mar 2024,10721,-13614,-403,-3296
562,HEROMOTOCO,Mar 2014,2963,-1616,-1414,-66
563,HEROMOTOCO,Mar 2015,2186,31,-2131,86
564,HEROMOTOCO,Mar 2016,3722,-2300,-1475,-53
565,HEROMOTOCO,Mar 2017,4007,-1972,-2036,-1
566,HEROMOTOCO,Mar 2018,4017,-1858,-2102,57
567,HEROMOTOCO,Mar 2019,1032,1298,-2252,78
568,HEROMOTOCO,Mar 2020,5518,-2819,-2602,97
569,HEROMOTOCO,Mar 2021,4110,-2289,-1852,-31
570,HEROMOTOCO,Mar 2022,2104,-222,-1975,-94
571,HEROMOTOCO,Mar 2023,2614,-421,-2147,45
572,HEROMOTOCO,Mar 2024,4923,-1828,-2717,379
573,HINDALCO,Mar 2013,2977,-13801,10278,-545
574,HINDALCO,Mar 2014,7956,-8095,1493,1353
575,HINDALCO,Mar 2015,7143,-3873,-2437,833
576,HINDALCO,Mar 2016,11688,-3220,-8862,-394
577,HINDALCO,Mar 2017,12687,-2876,-5552,4259
578,HINDALCO,Mar 2018,10898,5333,-16412,-181
579,HINDALCO,Mar 2019,11977,-5456,-5466,1055
580,HINDALCO,Mar 2020,12745,-7227,6656,12174
581,HINDALCO,Mar 2021,17232,-25280,-4882,-12930
582,HINDALCO,Mar 2022,16838,-6773,-6765,3300
583,HINDALCO,Mar 2023,19208,-7559,-10450,1199
584,HINDALCO,Mar 2024,24056,-14267,-10817,-1028
585,HINDUNILVR,Mar 2013,3605,63,-4147,-480
586,HINDUNILVR,Mar 2014,3818,-475,-2960,383
587,HINDUNILVR,Mar 2015,3292,138,-3462,-33
588,HINDUNILVR,Mar 2016,4171,-282,-3864,25
589,HINDUNILVR,Mar 2017,5185,-1173,-4214,-202
590,HINDUNILVR,Mar 2018,6059,-1063,-4975,21
591,HINDUNILVR,Mar 2019,5800,-438,-5390,-28
592,HINDUNILVR,Mar 2020,7623,1791,-6819,2595
593,HINDUNILVR,Mar 2021,9163,-1228,-9309,-1374
594,HINDUNILVR,Mar 2022,9048,-1728,-8015,-695
595,HINDUNILVR,Mar 2023,9991,-1484,-8953,-446
596,HINDUNILVR,Mar 2024,15469,-5324,-10034,111
597,ICICIBANK,Mar 2013,17494,-18563,9283,8215
598,ICICIBANK,Mar 2014,6765,-15750,7872,-1113
599,ICICIBANK,Mar 2015,-12273,-13175,24827,-621
600,ICICIBANK,Mar 2016,23645,-12060,5814,17399
601,ICICIBANK,Mar 2017,52636,-1711,-35470,15455
602,ICICIBANK,Mar 2018,19383,-50551,39676,8508
603,ICICIBANK,Mar 2019,48671,-30282,-19997,-1608
604,ICICIBANK,Mar 2020,79565,-42095,2992,40462
605,ICICIBANK,Mar 2021,138015,-63631,-54667,19718
606,ICICIBANK,Mar 2022,58111,-39448,17451,36114
607,ICICIBANK,Mar 2023,-3771,-67689,24791,-46669
608,ICICIBANK,Mar 2024,157284,-144737,13765,26312
609,ICICIGI,Mar 2013,984,-962,102,124
610,ICICIGI,Mar 2014,595,-706,4,-108
611,ICICIGI,Mar 2015,-98,171,-93,-20
612,ICICIGI,Mar 2016,511,-310,-148,53
613,ICICIGI,Mar 2017,1628,-1990,361,-1
614,ICICIGI,Mar 2018,2390,-1896,-96,398
615,ICICIGI,Mar 2019,2976,-2856,-310,-190
616,ICICIGI,Mar 2020,3433,-3382,-420,-369
617,ICICIGI,Mar 2021,1774,-1367,-212,195
618,ICICIGI,Mar 2022,809,135,-879,65
619,ICICIGI,Mar 2023,2290,-1685,-695,-90
620,ICICIGI,Mar 2024,2407,-1921,-355,131
621,ICICIPRULI,Mar 2013,-2641,1564,-514,-1591
622,ICICIPRULI,Mar 2014,-2382,6012,-1091,2539
623,ICICIPRULI,Mar 2015,523,-1822,-966,-2264
624,ICICIPRULI,Mar 2016,3634,27,-1442,2219
625,ICICIPRULI,Mar 2017,4130,-696,-994,2439
626,ICICIPRULI,Mar 2018,5690,-5389,-1188,-887
627,ICICIPRULI,Mar 2019,11377,-7559,-843,2975
628,ICICIPRULI,Mar 2020,8596,-10797,-405,-2606
629,ICICIPRULI,Mar 2021,7314,-5084,1205,3434
630,ICICIPRULI,Mar 2022,1831,-816,-319,696
631,ICICIPRULI,Mar 2023,89,-1145,-112,-1168
632,ICICIPRULI,Mar 2024,-7315,7420,-88,17
633,INDIGO,Mar 2013,1741,-1890,36,-113
634,INDIGO,Mar 2014,1595,-2914,1285,-34
635,INDIGO,Mar 2015,2384,-940,-1308,136
636,INDIGO,Mar 2016,3116,-1337,-1220,559
637,INDIGO,Mar 2017,3782,-3033,-1401,-652
638,INDIGO,Mar 2018,3903,-4152,766,518
639,INDIGO,Mar 2019,3160,-2526,-592,42
640,INDIGO,Mar 2020,6943,-4573,-2407,-37
641,INDIGO,Mar 2021,-1620,3228,-1775,-168
642,INDIGO,Mar 2022,2064,1527,-3088,503
643,INDIGO,Mar 2023,12703,-4039,-8432,232
644,INDIGO,Mar 2024,21183,-11759,-9979,-555
645,INDUSINDBK,Mar 2013,-486,-174,1969,1309
646,INDUSINDBK,Mar 2014,-4106,-174,4200,-79
647,INDUSINDBK,Mar 2015,-1421,-276,5707,4010
648,INDUSINDBK,Mar 2016,-2927,-258,2517,-667
649,INDUSINDBK,Mar 2017,11569,-285,-2768,8516
650,INDUSINDBK,Mar 2018,-20700,-217,15505,-5412
651,INDUSINDBK,Mar 2019,-6389,-633,8590,1568
652,INDUSINDBK,Mar 2020,-12039,526,12733,1220
653,INDUSINDBK,Mar 2021,44646,-226,-4096,40324
654,INDUSINDBK,Mar 2022,16600,-351,-4302,11947
655,INDUSINDBK,Mar 2023,-12438,-441,1115,-11763
656,INDUSINDBK,Mar 2024,-16843,-625,-2242,-19710
657,INFY,Mar 2013,7373,-2922,-3210,1241
658,INFY,Mar 2014,9825,-2563,-3144,4118
659,INFY,Mar 2015,8353,999,-4935,4417
660,INFY,Mar 2016,10028,-885,-6813,2330
661,INFY,Mar 2017,11531,-14664,-6939,-10072
662,INFY,Mar 2018,13218,4533,-20505,-2754
663,INFY,Mar 2019,14841,-632,-14512,-303
664,INFY,Mar 2020,17003,-331,-17591,-919
665,INFY,Mar 2021,23224,-7373,-9786,6065
666,INFY,Mar 2022,23885,-6485,-24642,-7242
667,INFY,Mar 2023,22467,-1071,-26695,-5299
668,INFY,Mar 2024,25210,-5093,-17504,2613
669,IOC,Mar 2013,9340,-9294,352,398
670,IOC,Mar 2014,24195,-18594,-3116,2485
671,IOC,Mar 2015,46092,-10215,-38283,-2406
672,IOC,Mar 2016,25624,-13610,-11890,124
673,IOC,Mar 2017,28216,-17684,-10937,-405
674,IOC,Mar 2018,29115,-17119,-12007,-11
675,IOC,Mar 2019,12747,-22569,10436,614
676,IOC,Mar 2020,7146,-29101,22456,502
677,IOC,Mar 2021,49650,-22935,-27369,-653
678,IOC,Mar 2022,25747,-21294,-4058,395
679,IOC,Mar 2023,29644,-28030,-1794,-180
680,IOC,Mar 2024,71099,-31464,-39385,250
681,IRCTC,Mar 2015,69,-46,-17,6
682,IRCTC,Mar 2016,288,7,-31,263
683,IRCTC,Mar 2017,338,94,-136,296
684,IRCTC,Mar 2018,24,40,-57,7
685,IRCTC,Mar 2019,499,-353,-179,-33
686,IRCTC,Mar 2020,409,8,-280,137
687,IRCTC,Mar 2021,248,-453,-47,-252
688,IRCTC,Mar 2022,524,-242,-258,23
689,IRCTC,Mar 2023,812,-317,-434,61
690,IRCTC,Mar 2024,882,-215,-404,262
691,IRFC,Mar 2016,-16378,2,17582,1206
692,IRFC,Mar 2017,-19455,2,18250,-1204
693,IRFC,Mar 2018,-28076,2,28075,0
694,IRFC,Mar 2019,-41748,1,41749,3
695,IRFC,Mar 2020,-62701,1,62697,-2
696,IRFC,Mar 2021,-89907,0,90202,296
697,IRFC,Mar 2022,-64412,-5,64266,-151
698,IRFC,Mar 2023,-28588,0,28644,56
699,IRFC,Mar 2024,7914,-8,-8046,-140
700,ITC,Mar 2013,7102,-3881,-3310,-90
701,ITC,Mar 2014,7344,-3254,-4122,-32
702,ITC,Mar 2015,9843,-5275,-4661,-93
703,ITC,Mar 2016,9799,-3921,-5613,266
704,ITC,Mar 2017,10627,-3251,-7301,75
705,ITC,Mar 2018,13169,-7114,-6221,-166
706,ITC,Mar 2019,12583,-5546,-6869,169
707,ITC,Mar 2020,14690,-6174,-8181,334
708,ITC,Mar 2021,12527,5740,-18634,-367
709,ITC,Mar 2022,15776,-2238,-13580,-43
710,ITC,Mar 2023,18878,-5732,-13006,139
711,ITC,Mar 2024,17179,1563,-18551,191
712,JINDALSTEL,Mar 2013,3522,-9591,6111,43
713,JINDALSTEL,Mar 2014,4580,-12694,8879,766
714,JINDALSTEL,Mar 2015,1182,-6717,5708,173
715,JINDALSTEL,Mar 2016,4333,-2262,-2672,-601
716,JINDALSTEL,Mar 2017,6850,-1998,-5108,-256
717,JINDALSTEL,Mar 2018,7724,-1431,-6276,17
718,JINDALSTEL,Mar 2019,9027,-832,-8261,-67
719,JINDALSTEL,Mar 2020,8814,-1476,-7016,322
720,JINDALSTEL,Mar 2021,11961,-1884,-4612,5465
721,JINDALSTEL,Mar 2022,16048,-2331,-15120,-1403
722,JINDALSTEL,Mar 2023,7347,-4090,-2500,757
723,JINDALSTEL,Mar 2024,6008,-8344,1381,-955
724,JIOFIN,Mar 2023,2055,-1110,-889,56
725,JIOFIN,Mar 2024,-678,1441,-753,11
726,JSWENERGY,Mar 2013,1725,-944,-684,96
727,JSWENERGY,Mar 2014,2269,-363,-1859,48
728,JSWENERGY,Mar 2015,3394,-422,-2327,645
729,JSWENERGY,Mar 2016,3538,-3272,-1622,-1357
730,JSWENERGY,Mar 2017,3853,-762,-2595,496
731,JSWENERGY,Mar 2018,3934,-215,-3968,-249
732,JSWENERGY,Mar 2019,2491,-55,-2523,-87
733,JSWENERGY,Mar 2020,2082,301,-1962,421
734,JSWENERGY,Mar 2021,3700,-1030,-2515,155
735,JSWENERGY,Mar 2022,2952,-1387,-781,784
736,JSWENERGY,Mar 2023,2084,-6778,7327,2634
737,JSWENERGY,Mar 2024,6234,-8197,1675,-289
738,JSWSTEEL,Mar 2013,5844,-5433,-791,-380
739,JSWSTEEL,Mar 2014,2594,-5618,3300,276
740,JSWSTEEL,Mar 2015,7876,-7372,-169,334
741,JSWSTEEL,Mar 2016,6897,-3857,-3151,-111
742,JSWSTEEL,Mar 2017,7888,-5094,-2710,84
743,JSWSTEEL,Mar 2018,12379,-4529,-8185,-335
744,JSWSTEEL,Mar 2019,14633,-11387,1753,4999
745,JSWSTEEL,Mar 2020,12785,-19589,5189,-1615
746,JSWSTEEL,Mar 2021,18789,-7702,-3110,7977
747,JSWSTEEL,Mar 2022,26270,-14748,-14657,-3135
748,JSWSTEEL,Mar 2023,23323,-10730,-5977,6616
749,JSWSTEEL,Mar 2024,12078,-14467,-5005,-7394
750,KOTAKBANK,Mar 2013,2878,-9035,7099,942
751,KOTAKBANK,Mar 2014,9068,-1130,-5814,2125
752,KOTAKBANK,Mar 2015,2302,-4467,2426,260
753,KOTAKBANK,Mar 2016,5025,-2353,2024,4696
754,KOTAKBANK,Mar 2017,13222,-5289,6055,13989
755,KOTAKBANK,Mar 2018,-10392,-5475,14679,-1188
756,KOTAKBANK,Mar 2019,1822,-3323,8365,6864
757,KOTAKBANK,Mar 2020,46619,-13068,-735,32815
758,KOTAKBANK,Mar 2021,4881,-11172,-10072,-16363
759,KOTAKBANK,Mar 2022,8308,-10903,7543,4949
760,KOTAKBANK,Mar 2023,-1242,-10381,1883,-9740
761,KOTAKBANK,Mar 2024,15685,-8919,15515,22281
762,LICI,Mar 2019,13274,9636,-13700,9210
763,LICI,Mar 2020,54367,-40415,-18664,-4712
764,LICI,Mar 2021,80602,148447,-256125,-27077
765,LICI,Mar 2022,-3783,12531,0,8748
766,LICI,Mar 2023,54519,-52848,-949,722
767,LICI,Mar 2024,26122,-25269,-4427,-3574
777,LODHA,Mar 2016,387,-854,330,-137
778,LODHA,Mar 2017,1469,-1174,-312,-16
779,LODHA,Mar 2018,696,-651,24,69
780,LODHA,Mar 2019,-463,-175,736,97
781,LODHA,Mar 2020,3772,182,-4188,-234
782,LODHA,Mar 2021,2524,420,-2835,109
783,LODHA,Mar 2022,1998,1139,-2888,250
784,LODHA,Mar 2023,2750,1789,-3706,834
785,LODHA,Mar 2024,2512,-2947,951,516
786,LT,Mar 2013,-4355,-6922,11429,152
787,LT,Mar 2014,-7143,-5510,13136,483
788,LT,Mar 2015,-1365,-4778,7903,1759
789,LT,Mar 2016,-3240,-4627,7253,-613
790,LT,Mar 2017,6655,-9796,2896,-245
791,LT,Mar 2018,-10031,3914,9370,3254
792,LT,Mar 2019,-4756,-11023,15440,-338
793,LT,Mar 2020,6694,-8408,6372,4658
794,LT,Mar 2021,23074,-5750,-15274,2049
795,LT,Mar 2022,19164,-3585,-15181,397
796,LT,Mar 2023,22777,-8048,-11572,3156
797,LT,Mar 2024,18266,2179,-25413,-4968
798,LTIM,Mar 2013,608,-224,-396,-13
799,LTIM,Mar 2014,628,180,-769,40
800,LTIM,Mar 2015,642,-103,-497,42
801,LTIM,Mar 2016,858,-40,-817,2
802,LTIM,Mar 2017,1170,-961,-33,176
803,LTIM,Mar 2018,844,-452,-408,-16
804,LTIM,Mar 2019,1395,-749,-594,52
805,LTIM,Mar 2020,1644,-643,-890,110
806,LTIM,Mar 2021,2400,-1657,-509,234
807,LTIM,Mar 2022,3251,-1643,-1680,-73
808,LTIM,Mar 2023,3095,-271,-1932,892
809,LTIM,Mar 2024,5670,-3918,-2269,-518
810,M&M,Mar 2013,-922,-2903,4508,684
811,M&M,Mar 2014,-244,-4524,5577,810
812,M&M,Mar 2015,1055,-4357,1669,-1633
813,M&M,Mar 2016,2385,-5506,2967,-154
814,M&M,Mar 2017,183,-5875,6108,416
815,M&M,Mar 2018,682,-5467,6314,1529
816,M&M,Mar 2019,-4347,-7174,13194,1672
817,M&M,Mar 2020,-1457,-6870,6933,-1394
818,M&M,Mar 2021,17909,-19686,406,-1370
819,M&M,Mar 2022,9248,-3252,-5883,113
820,M&M,Mar 2023,-7074,-8866,15946,6
821,M&M,Mar 2024,-5630,-5615,12281,1037
822,MARUTI,Mar 2013,4059,-3119,-979,-39
823,MARUTI,Mar 2014,4995,-4997,-74,-76
824,MARUTI,Mar 2015,6449,-4491,-2004,-45
825,MARUTI,Mar 2016,8482,-7230,-1237,16
826,MARUTI,Mar 2017,10282,-9173,-1129,-20
827,MARUTI,Mar 2018,11788,-8302,-3436,50
828,MARUTI,Mar 2019,6601,-3540,-2948,113
829,MARUTI,Mar 2020,3496,-557,-3104,-165
830,MARUTI,Mar 2021,8856,-7291,-1545,20
831,MARUTI,Mar 2022,1840,-239,-1607,-6
832,MARUTI,Mar 2023,10815,-8820,-1214,780
833,MARUTI,Mar 2024,16801,-11865,-4062,874
834,MOTHERSON,Mar 2013,1486,-1089,-256,142
835,MOTHERSON,Mar 2014,2695,-1372,-1080,243
836,MOTHERSON,Mar 2015,3390,-2844,494,1040
837,MOTHERSON,Mar 2016,2188,-1906,-263,19
838,MOTHERSON,Mar 2017,3800,-6145,5518,3172
839,MOTHERSON,Mar 2018,3264,-3194,-2221,-2152
840,MOTHERSON,Mar 2019,4312,-3318,-225,769
841,MOTHERSON,Mar 2020,6352,-2220,-2803,1329
842,MOTHERSON,Mar 2021,5051,-1886,-2098,1068
843,MOTHERSON,Mar 2022,2463,-2304,-1217,-1059
844,MOTHERSON,Mar 2023,4643,-2248,-2734,-339
845,MOTHERSON,Mar 2024,7569,-6644,1281,2205
846,NAUKRI,Mar 2013,75,-46,-12,16
847,NAUKRI,Mar 2014,81,-204,130,7
848,NAUKRI,Mar 2015,51,-1051,1025,25
849,NAUKRI,Mar 2016,78,-2,-66,11
850,NAUKRI,Mar 2017,213,-165,-42,7
851,NAUKRI,Mar 2018,253,-149,-75,29
852,NAUKRI,Mar 2019,276,-59,-78,138
853,NAUKRI,Mar 2020,350,97,-143,304
854,NAUKRI,Mar 2021,276,-2043,1880,113
855,NAUKRI,Mar 2022,707,-1177,35,-435
856,NAUKRI,Mar 2023,512,-358,2,156
857,NAUKRI,Mar 2024,702,-852,120,-29
858,NESTLEIND,Dec 2013,1796,-441,-580,775
859,NESTLEIND,Dec 2014,1644,-432,-1635,-423
860,NESTLEIND,Dec 2015,1098,-70,-498,529
861,NESTLEIND,Dec 2016,1466,-126,-666,674
862,NESTLEIND,Dec 2017,1818,-131,-997,691
863,NESTLEIND,Dec 2018,2052,-52,-1317,683
864,NESTLEIND,Dec 2019,2295,83,-3602,-1223
865,NESTLEIND,Dec 2020,2454,-321,-1956,177
866,NESTLEIND,Dec 2021,2236,-1920,-2020,-1704
867,NESTLEIND,Dec 2022,2737,-392,-2123,223
